occurrence_id,latitude,longitude,state,label,b2_blue,b3_green,b4_red,b8_nir,b11_swir1,b12_swir2,ferrous_iron_index,swir_alteration_index,clay_carbonate_index,ndvi,elevation_m,slope_deg,aspect_deg,aspect_sin,aspect_cos,tri_roughness,dist_to_fault_km,dist_to_lineament_km,lithology
MN_OCC_0081,21.34951,79.30036,Madhya Pradesh / Maharashtra,1,0.077,0.1383,0.2144,0.2464,0.3952,0.2598,2.7856,1.5211,1.6038,0.0694,396.06,17.19,13.32,0.2304,0.9731,14.07,2.9,0.47,Gondwana Supergroup Metasediment
MN_OCC_0082,21.98279,80.36701,Madhya Pradesh / Maharashtra,1,0.0431,0.1218,0.154,0.2815,0.2518,0.191,3.5745,1.3182,0.8945,0.2928,553.64,13.48,114.75,0.9081,-0.4187,25.14,3.06,0.48,Gondwana Supergroup Metasediment
MN_OCC_0083,21.76615,80.11701,Madhya Pradesh / Maharashtra,1,0.0748,0.0813,0.2075,0.2541,0.409,0.2538,2.7735,1.6114,1.61,0.1009,413.96,9.91,172.76,0.1261,-0.992,29.47,3.16,3.72,Sausar Group Metamorphic
MN_OCC_0084,15.1251,74.14215,Other State,1,0.0707,0.1051,0.1621,0.2833,0.283,0.1644,2.2923,1.7217,0.999,0.2719,218.67,7.91,106.67,0.958,-0.2869,2.73,3.64,0.44,Sausar Group Metamorphic
MN_OCC_0085,31.34876,69.51734,Other State,1,0.0715,0.0854,0.1618,0.3031,0.4101,0.2108,2.2638,1.9456,1.353,0.304,235.11,6.89,356.82,-0.0555,0.9985,21.26,0.84,5.15,Dharwar Schist
MN_OCC_0086,21.93279,80.35034,Madhya Pradesh / Maharashtra,1,0.0643,0.1108,0.1431,0.2047,0.2797,0.1742,2.2246,1.6052,1.3662,0.1773,303.51,18.45,20.82,0.3555,0.9347,15.21,4.54,2.14,Gondwana Supergroup Metasediment
MN_OCC_0087,15.46006,79.15035,Other State,1,0.0726,0.0935,0.1424,0.2552,0.3467,0.2254,1.9603,1.5382,1.3588,0.2837,239.17,9.44,319.95,-0.6435,0.7655,15.1,9.97,3.57,Lateritic Duricrust
MN_OCC_0088,16.60541,79.58501,Other State,1,0.0662,0.1131,0.1287,0.2372,0.3071,0.1838,1.9438,1.671,1.2947,0.2965,376.02,21.47,29.18,0.4875,0.8731,23.76,0.25,3.43,Precambrian Granitic Gneiss
MN_OCC_0089,21.5095,79.43036,Madhya Pradesh / Maharashtra,1,0.0592,0.1155,0.2025,0.2287,0.362,0.2235,3.4187,1.6195,1.5831,0.0608,252.7,15.42,287.07,-0.9559,0.2936,15.33,3.44,3.42,Lateritic Duricrust
MN_OCC_0090,15.16676,74.10881,Other State,1,0.0683,0.1302,0.1897,0.2752,0.3514,0.2479,2.7767,1.4176,1.2766,0.1838,359.95,13.23,120.64,0.8604,-0.5097,12.68,5.45,3.21,Precambrian Granitic Gneiss
MN_OCC_0092,21.39951,78.98367,Madhya Pradesh / Maharashtra,1,0.0403,0.0972,0.1817,0.3174,0.3537,0.1838,4.5134,1.9248,1.1146,0.2719,439.39,15.73,280.74,-0.9825,0.1864,35.51,0.36,2.58,Precambrian Granitic Gneiss
MN_OCC_0093,14.68706,76.1853,Karnataka,1,0.0785,0.1005,0.1833,0.3105,0.2585,0.2718,2.3339,0.9507,0.8324,0.2577,326.43,13.47,108.35,0.9492,-0.3148,15.3,2.79,0.76,Dharwar Schist
MN_OCC_0094,21.83277,80.30034,Madhya Pradesh / Maharashtra,1,0.0418,0.1323,0.2173,0.3156,0.3749,0.1669,5.1959,2.2463,1.1878,0.1844,400.96,20.33,245.99,-0.9134,-0.407,17.67,1.89,0.58,Sausar Group Metamorphic
MN_OCC_0095,21.74948,80.11701,Madhya Pradesh / Maharashtra,1,0.057,0.1071,0.1364,0.2913,0.3649,0.1787,2.3903,2.0417,1.2526,0.3622,409.26,9.68,235.62,-0.8254,-0.5646,16.42,9.2,0.98,Dharwar Schist
MN_OCC_0096,21.84947,80.13367,Madhya Pradesh / Maharashtra,1,0.0559,0.0965,0.2184,0.2373,0.4009,0.1799,3.9066,2.2287,1.6895,0.0415,242.36,6.24,311.17,-0.7528,0.6583,29.75,2.05,6.21,Gondwana Supergroup Metasediment
MN_OCC_0097,21.68278,79.75035,Madhya Pradesh / Maharashtra,1,0.0747,0.1266,0.1971,0.2983,0.377,0.2314,2.6368,1.6291,1.2639,0.2042,403.58,16.05,286.75,-0.9576,0.2883,9.95,0.43,2.08,Precambrian Granitic Gneiss
MN_OCC_0098,22.5494,85.81019,Other State,1,0.048,0.1095,0.1264,0.2615,0.2884,0.2537,2.6326,1.1369,1.103,0.3482,374.03,10.27,4.18,0.0729,0.9973,3.08,0.24,0.9,Precambrian Granitic Gneiss
MN_OCC_0100,15.22509,74.16715,Other State,1,0.064,0.0975,0.1895,0.3004,0.3804,0.1552,2.9608,2.4516,1.2661,0.2264,263.96,12.26,87.14,0.9988,0.05,37.42,3.88,1.48,Gondwana Supergroup Metasediment
MN_OCC_0101,21.99529,80.13367,Madhya Pradesh / Maharashtra,1,0.0531,0.1111,0.1288,0.2291,0.246,0.1602,2.4272,1.5353,1.0737,0.2803,377.29,7.49,204.31,-0.4117,-0.9113,15.95,3.74,2.9,Gondwana Supergroup Metasediment
MN_OCC_0102,21.4595,79.41036,Madhya Pradesh / Maharashtra,1,0.0467,0.0863,0.1836,0.2789,0.2457,0.2717,3.9324,0.9042,0.8809,0.206,387.16,9.27,255.26,-0.9671,-0.2544,21.35,5.18,0.75,Lateritic Duricrust
MN_OCC_0103,21.84947,80.24201,Madhya Pradesh / Maharashtra,1,0.0432,0.1337,0.1748,0.2944,0.3214,0.2337,4.0448,1.3755,1.0917,0.255,461.77,21.18,29.39,0.4907,0.8713,19.78,0.2,0.51,Gondwana Supergroup Metasediment
MN_OCC_0106,21.32952,79.36036,Madhya Pradesh / Maharashtra,1,0.0749,0.0932,0.2176,0.2272,0.2728,0.2527,2.9061,1.0796,1.2008,0.0215,377.08,23.21,199.93,-0.3409,-0.9401,10.73,17.95,6.63,Dharwar Schist
MN_OCC_0107,22.02944,85.4102,Odisha,1,0.048,0.1208,0.1272,0.1843,0.2864,0.2101,2.6514,1.3628,1.554,0.1832,470.4,14.5,267.37,-0.999,-0.0458,23.38,1.77,0.76,Precambrian Granitic Gneiss
MN_OCC_0108,22.01612,80.36701,Madhya Pradesh / Maharashtra,1,0.0795,0.0824,0.2067,0.261,0.319,0.2443,2.5998,1.3057,1.222,0.1161,509.44,12.31,324.25,-0.5842,0.8116,5.14,2.87,4.38,Gondwana Supergroup Metasediment
MN_OCC_0109,34.26522,73.31725,Other State,1,0.0649,0.1179,0.1933,0.1984,0.3688,0.2682,2.9777,1.3754,1.8589,0.013,311.27,9.75,349.7,-0.1788,0.9839,12.83,0.64,3.47,Precambrian Granitic Gneiss
MN_OCC_0110,21.40951,79.40036,Madhya Pradesh / Maharashtra,1,0.0499,0.1322,0.1645,0.2521,0.3047,0.2271,3.2978,1.3416,1.2086,0.2101,336.51,6.9,348.99,-0.191,0.9816,24.66,1.26,2.67,Gondwana Supergroup Metasediment
MN_OCC_0111,21.94946,80.31701,Madhya Pradesh / Maharashtra,1,0.0788,0.1072,0.1436,0.1903,0.2706,0.2176,1.8225,1.2435,1.4218,0.1398,230.51,17.48,155.12,0.4207,-0.9072,14.25,0.92,1.73,Dharwar Schist
MN_OCC_0112,20.80957,76.60043,Other State,1,0.0467,0.0901,0.1237,0.2831,0.3595,0.2117,2.6491,1.6981,1.2698,0.3919,425.83,14.65,210.73,-0.511,-0.8596,15.77,0.38,0.57,Gondwana Supergroup Metasediment
MN_OCC_0113,21.89946,80.30034,Madhya Pradesh / Maharashtra,1,0.0612,0.1362,0.1239,0.1971,0.3214,0.2714,2.0235,1.1842,1.6307,0.2279,425.57,12.89,14.97,0.2582,0.9661,2.21,0.51,7.77,Sausar Group Metamorphic
MN_OCC_0114,15.16676,74.25048,Karnataka,1,0.0402,0.1371,0.1839,0.3015,0.3219,0.217,4.5751,1.483,1.0675,0.2423,630.6,11.8,50.27,0.7691,0.6391,10.69,3.58,6.31,Gondwana Supergroup Metasediment
