occurrence_id,latitude,longitude,state,label,b2_blue,b3_green,b4_red,b8_nir,b11_swir1,b12_swir2,ferrous_iron_index,swir_alteration_index,clay_carbonate_index,ndvi,elevation_m,slope_deg,aspect_deg,aspect_sin,aspect_cos,tri_roughness,dist_to_fault_km,dist_to_lineament_km,lithology,spatial_block_id,spatial_split
MN_OCC_0011,21.36618,80.16701,Madhya Pradesh / Maharashtra,1,0.0421,0.0967,0.2108,0.2135,0.2661,0.2136,5.0125,1.2455,1.246,0.0064,517.14,16.26,85.55,0.997,0.0776,11.79,3.2,1.81,Precambrian Granitic Gneiss,21_80,validation
MN_OCC_0012,21.4795,79.26036,Madhya Pradesh / Maharashtra,1,0.0436,0.1301,0.1521,0.2061,0.2473,0.2268,3.487,1.0905,1.2,0.1509,546.08,4.75,232.26,-0.7908,-0.612,18.75,0.61,2.11,Precambrian Granitic Gneiss,21_79,train
MN_OCC_0013,33.66527,71.50063,Other State,1,0.0775,0.0883,0.1541,0.1959,0.4064,0.2641,1.9892,1.5392,2.0749,0.1194,477.62,6.35,294.2,-0.9121,0.4099,29.11,0.89,0.18,Lateritic Duricrust,33_71,train
MN_OCC_0014,15.0501,74.25048,Karnataka,1,0.076,0.118,0.1539,0.2289,0.3707,0.2666,2.0246,1.3902,1.6194,0.1959,684.7,13.75,231.13,-0.7786,-0.6275,20.97,0.28,0.32,Lateritic Duricrust,15_74,train
MN_OCC_0015,20.56599,84.50478,Odisha,1,0.0643,0.0806,0.1301,0.2729,0.2409,0.1709,2.0254,1.4096,0.8828,0.3542,603.89,14.87,234.71,-0.8162,-0.5778,24.08,0.87,0.71,Dharwar Schist,20_84,test
MN_OCC_0016,21.4795,79.31036,Madhya Pradesh / Maharashtra,1,0.066,0.131,0.1858,0.2596,0.2569,0.1978,2.8151,1.2986,0.9896,0.1657,265.46,8.05,350.28,-0.1688,0.9857,11.67,1.6,4.01,Dharwar Schist,21_79,train
MN_OCC_0017,14.41686,79.60034,Other State,1,0.0718,0.1102,0.1777,0.249,0.2751,0.2439,2.475,1.128,1.1052,0.167,251.49,14.91,338.57,-0.3654,0.9308,17.21,10.88,5.96,Lateritic Duricrust,14_79,train
MN_OCC_0018,23.79167,87.99351,Other State,1,0.0518,0.1031,0.2051,0.2244,0.2705,0.2224,3.9613,1.2164,1.2056,0.0448,468.84,13.37,205.22,-0.4261,-0.9047,21.28,0.33,1.72,Sausar Group Metamorphic,23_87,train
MN_OCC_0019,21.76615,80.04201,Madhya Pradesh / Maharashtra,1,0.0456,0.1111,0.2077,0.2837,0.3655,0.2413,4.5552,1.5144,1.2882,0.1546,214.68,7.81,291.37,-0.9312,0.3644,20.64,7.82,1.29,Precambrian Granitic Gneiss,21_80,validation
MN_OCC_0020,21.5495,79.70035,Madhya Pradesh / Maharashtra,1,0.0719,0.119,0.1902,0.2914,0.4002,0.1939,2.6441,2.0635,1.3733,0.2102,410.86,8.64,208.18,-0.4723,-0.8815,16.31,0.12,1.13,Precambrian Granitic Gneiss,21_79,train
MN_OCC_0021,21.95779,80.27534,Madhya Pradesh / Maharashtra,1,0.0515,0.1154,0.1231,0.1852,0.3881,0.1968,2.3911,1.9716,2.0951,0.2017,387.71,7.11,277.2,-0.9921,0.1253,22.6,0.29,0.1,Precambrian Granitic Gneiss,21_80,validation
MN_OCC_0022,21.79947,80.10867,Madhya Pradesh / Maharashtra,1,0.0616,0.1182,0.1926,0.3166,0.3329,0.192,3.1254,1.7342,1.0515,0.2435,227.5,9.19,158.03,0.3741,-0.9274,25.02,0.26,0.05,Sausar Group Metamorphic,21_80,validation
MN_OCC_0024,22.04945,80.567,Madhya Pradesh / Maharashtra,1,0.0734,0.1218,0.1609,0.2043,0.2682,0.1825,2.1908,1.4691,1.3128,0.1188,591.85,14.52,237.67,-0.845,-0.5348,21.22,3.03,0.98,Gondwana Supergroup Metasediment,22_80,train
MN_OCC_0025,21.87447,80.20867,Madhya Pradesh / Maharashtra,1,0.0542,0.1255,0.1214,0.1963,0.2483,0.1553,2.2389,1.5988,1.2651,0.2355,578.16,14.72,170.7,0.1616,-0.9869,24.4,0.33,1.22,Precambrian Granitic Gneiss,21_80,validation
MN_OCC_0026,15.50006,73.91718,Other State,1,0.0469,0.106,0.1599,0.2662,0.3543,0.1559,3.4062,2.2729,1.3309,0.2497,552.95,5.32,181.13,-0.0197,-0.9998,21.44,0.57,0.13,Dharwar Schist,15_73,validation
MN_OCC_0027,21.89114,80.19201,Madhya Pradesh / Maharashtra,1,0.0411,0.1151,0.214,0.2606,0.3099,0.2336,5.2123,1.3263,1.1892,0.0981,489.17,23.17,338.93,-0.3596,0.9331,2.58,1.56,5.85,Sausar Group Metamorphic,21_80,validation
MN_OCC_0028,21.8828,80.31701,Madhya Pradesh / Maharashtra,1,0.0478,0.0842,0.1301,0.1826,0.257,0.2388,2.7194,1.0762,1.4078,0.1678,355.03,10.03,304.16,-0.8275,0.5614,13.22,3.82,1.78,Lateritic Duricrust,21_80,validation
MN_OCC_0029,34.43187,73.50058,Other State,1,0.0694,0.1282,0.1482,0.2048,0.3751,0.2549,2.1354,1.4717,1.8312,0.1604,337.34,12.4,133.93,0.7202,-0.6937,19.14,4.79,0.75,Sausar Group Metamorphic,34_73,train
MN_OCC_0030,15.00844,74.25048,Karnataka,1,0.0743,0.1057,0.1951,0.2856,0.2586,0.2673,2.6243,0.9672,0.9052,0.1884,536.66,12.61,115.22,0.9047,-0.4261,16.29,0.1,4.24,Gondwana Supergroup Metasediment,15_74,train
MN_OCC_0031,21.89946,85.25021,Odisha,1,0.0528,0.137,0.2151,0.2603,0.3537,0.2083,4.0752,1.6982,1.359,0.0951,482.48,7.47,242.11,-0.8838,-0.4678,8.49,4.47,2.82,Dharwar Schist,21_85,test
MN_OCC_0032,21.94946,80.467,Madhya Pradesh / Maharashtra,1,0.0436,0.1097,0.1258,0.2569,0.3195,0.2654,2.8811,1.2037,1.2434,0.3428,280.94,10.89,51.48,0.7824,0.6228,23.11,0.34,0.16,Dharwar Schist,21_80,validation
MN_OCC_0033,21.86614,80.13367,Madhya Pradesh / Maharashtra,1,0.0429,0.1293,0.1906,0.1914,0.2553,0.2783,4.4423,0.9174,1.3338,0.002,542.95,5.26,292.61,-0.9232,0.3844,6.94,9.41,7.68,Dharwar Schist,21_80,validation
MN_OCC_0034,22.00778,80.36701,Madhya Pradesh / Maharashtra,1,0.0551,0.085,0.1977,0.2582,0.3164,0.2678,3.5915,1.1812,1.2254,0.1326,377.72,7.49,4.09,0.0713,0.9975,12.74,0.4,0.23,Dharwar Schist,22_80,train
MN_OCC_0035,21.95506,80.05034,Madhya Pradesh / Maharashtra,1,0.0698,0.115,0.2162,0.2325,0.2914,0.2629,3.0958,1.1084,1.2535,0.0362,374.22,13.62,26.57,0.4472,0.8944,18.3,2.58,6.27,Precambrian Granitic Gneiss,21_80,validation
MN_OCC_0036,21.79114,80.14201,Madhya Pradesh / Maharashtra,1,0.0652,0.1217,0.1655,0.2679,0.3452,0.2672,2.5385,1.2921,1.2886,0.2363,642.78,8.46,99.86,0.9852,-0.1712,16.94,1.4,1.58,Gondwana Supergroup Metasediment,21_80,validation
MN_OCC_0037,21.86614,80.35034,Madhya Pradesh / Maharashtra,1,0.079,0.1392,0.1898,0.2551,0.2957,0.2558,2.4034,1.1561,1.1594,0.1466,217.39,8.01,327.93,-0.5309,0.8474,22.14,5.53,5.39,Dharwar Schist,21_80,validation
MN_OCC_0038,21.92724,80.23367,Madhya Pradesh / Maharashtra,1,0.0645,0.1051,0.2133,0.3012,0.2481,0.1534,3.3046,1.6173,0.8237,0.171,521.53,10.15,355.42,-0.0799,0.9968,20.56,1.53,6.31,Lateritic Duricrust,21_80,validation
MN_OCC_0039,21.87864,79.99202,Madhya Pradesh / Maharashtra,1,0.0735,0.1081,0.1615,0.2183,0.2501,0.2624,2.196,0.9533,1.146,0.1496,248.32,12.53,276.84,-0.9929,0.119,18.58,9.27,3.41,Gondwana Supergroup Metasediment,21_79,train
MN_OCC_0040,21.99947,80.29201,Madhya Pradesh / Maharashtra,1,0.058,0.0877,0.2154,0.2649,0.2812,0.2373,3.7124,1.1847,1.0615,0.103,195.91,18.89,40.88,0.6545,0.7561,20.14,4.74,1.32,Lateritic Duricrust,21_80,validation
MN_OCC_0042,15.08899,74.20881,Karnataka,1,0.0621,0.1137,0.2077,0.2365,0.2641,0.1537,3.3453,1.718,1.1169,0.0649,625.69,15.73,253.47,-0.9587,-0.2845,29.15,0.77,0.26,Gondwana Supergroup Metasediment,15_74,train
MN_OCC_0043,21.97446,80.38367,Madhya Pradesh / Maharashtra,1,0.054,0.1154,0.1592,0.2412,0.4027,0.1953,2.9473,2.0625,1.6694,0.2048,560.28,12.87,142.76,0.6052,-0.7961,26.05,9.56,0.29,Sausar Group Metamorphic,21_80,validation
MN_OCC_0044,21.87447,80.11701,Madhya Pradesh / Maharashtra,1,0.0597,0.0955,0.1659,0.3172,0.3287,0.1927,2.7798,1.7053,1.0361,0.3132,419.68,5.98,27.31,0.4588,0.8885,23.56,0.44,0.25,Gondwana Supergroup Metasediment,21_80,validation
MN_OCC_0045,23.57292,96.18213,Other State,1,0.0456,0.1185,0.1382,0.2284,0.4014,0.2116,3.0335,1.8969,1.7576,0.2461,261.71,15.02,69.22,0.935,0.3547,11.68,0.3,0.23,Precambrian Granitic Gneiss,23_96,train
MN_OCC_0046,21.79947,80.15034,Madhya Pradesh / Maharashtra,1,0.0483,0.1019,0.1703,0.2767,0.2471,0.2539,3.5301,0.973,0.8931,0.2378,312.92,9.0,314.49,-0.7134,0.7008,19.91,8.12,0.11,Gondwana Supergroup Metasediment,21_80,validation
MN_OCC_0048,21.96613,80.467,Madhya Pradesh / Maharashtra,1,0.0722,0.1249,0.1385,0.2093,0.3067,0.213,1.9163,1.4399,1.4652,0.2038,198.18,19.33,166.51,0.2332,-0.9724,25.01,7.22,1.29,Precambrian Granitic Gneiss,21_80,validation
MN_OCC_0049,22.29942,85.3002,Odisha,1,0.0443,0.1068,0.1733,0.2139,0.2885,0.199,3.9122,1.4492,1.3483,0.1051,261.45,9.27,43.11,0.6835,0.73,9.55,7.08,1.62,Dharwar Schist,22_85,train
MN_OCC_0051,21.89114,80.40866,Madhya Pradesh / Maharashtra,1,0.0716,0.1099,0.1287,0.2552,0.3456,0.2469,1.7982,1.3998,1.3544,0.3295,255.53,11.55,102.16,0.9776,-0.2106,29.37,2.71,0.79,Sausar Group Metamorphic,21_80,validation
MN_OCC_0052,21.81614,80.18367,Madhya Pradesh / Maharashtra,1,0.0642,0.0942,0.1302,0.2014,0.2843,0.1709,2.0267,1.6635,1.4115,0.2148,222.84,9.54,62.41,0.8863,0.4631,11.29,7.27,0.15,Precambrian Granitic Gneiss,21_80,validation
MN_OCC_0053,21.8328,80.23367,Madhya Pradesh / Maharashtra,1,0.0564,0.1389,0.1312,0.2357,0.4145,0.2625,2.3256,1.579,1.7586,0.2848,310.79,16.28,61.52,0.879,0.4769,22.43,2.6,1.53,Gondwana Supergroup Metasediment,21_80,validation
MN_OCC_0054,20.82955,86.33018,Odisha,1,0.0708,0.0912,0.1524,0.2396,0.3314,0.1815,2.1527,1.8256,1.3832,0.2225,404.9,13.8,103.91,0.9707,-0.2403,10.97,2.79,0.3,Precambrian Granitic Gneiss,20_86,train
MN_OCC_0055,21.96613,80.26701,Madhya Pradesh / Maharashtra,1,0.0613,0.0831,0.1537,0.1988,0.2514,0.2787,2.5065,0.9021,1.2645,0.1281,500.76,9.62,91.67,0.9996,-0.0292,27.05,2.9,1.15,Precambrian Granitic Gneiss,21_80,validation
MN_OCC_0056,21.40951,79.28036,Madhya Pradesh / Maharashtra,1,0.054,0.1358,0.2031,0.3151,0.2624,0.245,3.7635,1.0709,0.8327,0.2162,472.6,12.93,206.81,-0.451,-0.8925,16.95,5.9,0.27,Dharwar Schist,21_79,train
MN_OCC_0057,21.92168,80.23784,Madhya Pradesh / Maharashtra,1,0.0481,0.0898,0.1364,0.294,0.3597,0.218,2.8383,1.6502,1.2234,0.3661,484.53,10.87,141.28,0.6255,-0.7802,16.2,1.51,1.12,Gondwana Supergroup Metasediment,21_80,validation
MN_OCC_0059,21.95946,80.46033,Madhya Pradesh / Maharashtra,1,0.0699,0.1102,0.1432,0.3059,0.3091,0.2207,2.0488,1.4008,1.0103,0.3623,536.13,13.68,42.08,0.6702,0.7422,24.37,8.99,1.78,Gondwana Supergroup Metasediment,21_80,validation
MN_OCC_0060,21.94946,80.26034,Madhya Pradesh / Maharashtra,1,0.0456,0.1276,0.182,0.2547,0.4009,0.2525,3.9939,1.5876,1.5741,0.1664,324.88,8.25,89.46,1.0,0.0095,30.28,6.7,0.75,Lateritic Duricrust,21_80,validation
MN_OCC_0061,23.49934,74.2505,Other State,1,0.0444,0.1308,0.1327,0.2356,0.3835,0.1695,2.9881,2.2627,1.6277,0.2793,428.24,16.28,259.21,-0.9823,-0.1872,10.82,3.28,2.13,Precambrian Granitic Gneiss,23_74,train
MN_OCC_0062,22.9994,72.50054,Other State,1,0.0501,0.1007,0.1382,0.3072,0.345,0.2021,2.7592,1.707,1.1231,0.3795,458.52,12.22,55.21,0.8212,0.5706,19.64,3.03,0.05,Lateritic Duricrust,22_72,train
MN_OCC_0063,21.79947,80.20867,Madhya Pradesh / Maharashtra,1,0.0773,0.1139,0.1897,0.3091,0.3673,0.1698,2.4541,2.1628,1.1881,0.2395,697.23,21.91,152.69,0.4589,-0.8885,28.96,4.27,4.9,Sausar Group Metamorphic,21_80,validation
MN_OCC_0064,34.29855,73.46725,Other State,1,0.058,0.0868,0.2185,0.2974,0.2624,0.2697,3.7647,0.973,0.8823,0.153,386.69,17.97,212.86,-0.5426,-0.84,13.5,1.31,2.92,Gondwana Supergroup Metasediment,34_73,train
MN_OCC_0065,22.49943,73.33382,Other State,1,0.0533,0.1039,0.1737,0.3088,0.3023,0.1951,3.2572,1.5496,0.9791,0.2799,363.99,10.82,80.86,0.9873,0.1589,31.55,1.93,0.27,Gondwana Supergroup Metasediment,22_73,train
MN_OCC_0067,19.21637,83.21693,Odisha,1,0.0599,0.1051,0.2115,0.2307,0.3445,0.2322,3.5285,1.4837,1.4931,0.0435,347.73,6.97,30.73,0.5109,0.8596,18.21,2.9,0.12,Dharwar Schist,19_83,train
MN_OCC_0068,21.76615,79.80035,Madhya Pradesh / Maharashtra,1,0.0484,0.1339,0.1405,0.2067,0.2466,0.2114,2.9033,1.1666,1.1929,0.1906,398.99,8.94,279.19,-0.9872,0.1597,19.05,1.93,1.34,Precambrian Granitic Gneiss,21_79,train
MN_OCC_0069,21.39951,79.26036,Madhya Pradesh / Maharashtra,1,0.056,0.1136,0.1355,0.2055,0.3951,0.273,2.4187,1.4474,1.923,0.2051,211.1,8.61,231.84,-0.7863,-0.6179,15.3,0.54,2.27,Dharwar Schist,21_79,train
MN_OCC_0070,13.93351,75.51714,Karnataka,1,0.0411,0.0933,0.1431,0.2741,0.2435,0.1635,3.4832,1.4893,0.8886,0.3139,371.65,9.88,234.99,-0.819,-0.5737,22.11,0.87,0.19,Gondwana Supergroup Metasediment,13_75,train
MN_OCC_0071,15.0801,76.55042,Karnataka,1,0.0689,0.1313,0.203,0.2356,0.3603,0.1766,2.947,2.0394,1.5291,0.0743,451.17,10.95,4.68,0.0816,0.9967,4.84,7.14,3.06,Gondwana Supergroup Metasediment,15_76,test
MN_OCC_0072,21.39951,79.45036,Madhya Pradesh / Maharashtra,1,0.0504,0.1028,0.179,0.2175,0.3523,0.2032,3.5537,1.7338,1.6198,0.0971,591.76,2.09,106.01,0.9612,-0.2758,31.77,9.49,2.6,Gondwana Supergroup Metasediment,21_79,train
MN_OCC_0073,21.98279,80.26701,Madhya Pradesh / Maharashtra,1,0.0747,0.1092,0.2095,0.292,0.3165,0.1529,2.8025,2.0699,1.0841,0.1646,416.94,3.95,228.05,-0.7438,-0.6685,13.22,5.76,7.49,Precambrian Granitic Gneiss,21_80,validation
MN_OCC_0074,34.29855,73.33391,Other State,1,0.0469,0.0963,0.1218,0.308,0.2612,0.2249,2.5996,1.1611,0.848,0.4331,329.82,14.54,234.51,-0.8142,-0.5805,4.58,5.67,0.42,Gondwana Supergroup Metasediment,34_73,train
MN_OCC_0075,21.89114,80.16284,Madhya Pradesh / Maharashtra,1,0.0455,0.134,0.2074,0.2636,0.3481,0.2365,4.5604,1.4721,1.3203,0.1194,159.1,6.1,186.81,-0.1186,-0.9929,15.42,2.96,0.51,Precambrian Granitic Gneiss,21_80,validation
MN_OCC_0076,23.7493,86.86016,Other State,1,0.0515,0.1013,0.1919,0.2216,0.342,0.2119,3.7228,1.6138,1.5431,0.0718,403.83,14.97,263.73,-0.994,-0.1093,19.68,0.77,0.06,Gondwana Supergroup Metasediment,23_86,test
MN_OCC_0078,21.99113,80.15867,Madhya Pradesh / Maharashtra,1,0.0638,0.0831,0.1696,0.2636,0.3002,0.2502,2.6587,1.1996,1.1389,0.2168,375.8,21.35,247.82,-0.926,-0.3774,5.74,5.47,2.89,Dharwar Schist,21_80,validation
MN_OCC_0079,21.94946,80.40033,Madhya Pradesh / Maharashtra,1,0.0509,0.1154,0.1561,0.1928,0.4051,0.1678,3.0675,2.4145,2.101,0.1053,331.95,12.13,66.65,0.9181,0.3964,23.17,2.5,3.71,Dharwar Schist,21_80,validation
MN_OCC_0080,21.84947,80.25034,Madhya Pradesh / Maharashtra,1,0.0723,0.1195,0.1892,0.2989,0.2849,0.2136,2.6186,1.3338,0.9533,0.2247,431.55,13.54,65.01,0.9064,0.4225,24.75,0.11,2.15,Gondwana Supergroup Metasediment,21_80,validation
MN_OCC_0081,21.34951,79.30036,Madhya Pradesh / Maharashtra,1,0.077,0.1383,0.2144,0.2464,0.3952,0.2598,2.7856,1.5211,1.6038,0.0694,396.06,17.19,13.32,0.2304,0.9731,14.07,2.9,0.47,Gondwana Supergroup Metasediment,21_79,train
MN_OCC_0082,21.98279,80.36701,Madhya Pradesh / Maharashtra,1,0.0431,0.1218,0.154,0.2815,0.2518,0.191,3.5745,1.3182,0.8945,0.2928,553.64,13.48,114.75,0.9081,-0.4187,25.14,3.06,0.48,Gondwana Supergroup Metasediment,21_80,validation
MN_OCC_0083,21.76615,80.11701,Madhya Pradesh / Maharashtra,1,0.0748,0.0813,0.2075,0.2541,0.409,0.2538,2.7735,1.6114,1.61,0.1009,413.96,9.91,172.76,0.1261,-0.992,29.47,3.16,3.72,Sausar Group Metamorphic,21_80,validation
MN_OCC_0084,15.1251,74.14215,Other State,1,0.0707,0.1051,0.1621,0.2833,0.283,0.1644,2.2923,1.7217,0.999,0.2719,218.67,7.91,106.67,0.958,-0.2869,2.73,3.64,0.44,Sausar Group Metamorphic,15_74,train
MN_OCC_0085,31.34876,69.51734,Other State,1,0.0715,0.0854,0.1618,0.3031,0.4101,0.2108,2.2638,1.9456,1.353,0.304,235.11,6.89,356.82,-0.0555,0.9985,21.26,0.84,5.15,Dharwar Schist,31_69,validation
MN_OCC_0086,21.93279,80.35034,Madhya Pradesh / Maharashtra,1,0.0643,0.1108,0.1431,0.2047,0.2797,0.1742,2.2246,1.6052,1.3662,0.1773,303.51,18.45,20.82,0.3555,0.9347,15.21,4.54,2.14,Gondwana Supergroup Metasediment,21_80,validation
MN_OCC_0087,15.46006,79.15035,Other State,1,0.0726,0.0935,0.1424,0.2552,0.3467,0.2254,1.9603,1.5382,1.3588,0.2837,239.17,9.44,319.95,-0.6435,0.7655,15.1,9.97,3.57,Lateritic Duricrust,15_79,validation
MN_OCC_0088,16.60541,79.58501,Other State,1,0.0662,0.1131,0.1287,0.2372,0.3071,0.1838,1.9438,1.671,1.2947,0.2965,376.02,21.47,29.18,0.4875,0.8731,23.76,0.25,3.43,Precambrian Granitic Gneiss,16_79,train
MN_OCC_0089,21.5095,79.43036,Madhya Pradesh / Maharashtra,1,0.0592,0.1155,0.2025,0.2287,0.362,0.2235,3.4187,1.6195,1.5831,0.0608,252.7,15.42,287.07,-0.9559,0.2936,15.33,3.44,3.42,Lateritic Duricrust,21_79,train
MN_OCC_0090,15.16676,74.10881,Other State,1,0.0683,0.1302,0.1897,0.2752,0.3514,0.2479,2.7767,1.4176,1.2766,0.1838,359.95,13.23,120.64,0.8604,-0.5097,12.68,5.45,3.21,Precambrian Granitic Gneiss,15_74,train
MN_OCC_0092,21.39951,78.98367,Madhya Pradesh / Maharashtra,1,0.0403,0.0972,0.1817,0.3174,0.3537,0.1838,4.5134,1.9248,1.1146,0.2719,439.39,15.73,280.74,-0.9825,0.1864,35.51,0.36,2.58,Precambrian Granitic Gneiss,21_78,train
MN_OCC_0093,14.68706,76.1853,Karnataka,1,0.0785,0.1005,0.1833,0.3105,0.2585,0.2718,2.3339,0.9507,0.8324,0.2577,326.43,13.47,108.35,0.9492,-0.3148,15.3,2.79,0.76,Dharwar Schist,14_76,validation
MN_OCC_0094,21.83277,80.30034,Madhya Pradesh / Maharashtra,1,0.0418,0.1323,0.2173,0.3156,0.3749,0.1669,5.1959,2.2463,1.1878,0.1844,400.96,20.33,245.99,-0.9134,-0.407,17.67,1.89,0.58,Sausar Group Metamorphic,21_80,validation
MN_OCC_0095,21.74948,80.11701,Madhya Pradesh / Maharashtra,1,0.057,0.1071,0.1364,0.2913,0.3649,0.1787,2.3903,2.0417,1.2526,0.3622,409.26,9.68,235.62,-0.8254,-0.5646,16.42,9.2,0.98,Dharwar Schist,21_80,validation
MN_OCC_0096,21.84947,80.13367,Madhya Pradesh / Maharashtra,1,0.0559,0.0965,0.2184,0.2373,0.4009,0.1799,3.9066,2.2287,1.6895,0.0415,242.36,6.24,311.17,-0.7528,0.6583,29.75,2.05,6.21,Gondwana Supergroup Metasediment,21_80,validation
MN_OCC_0097,21.68278,79.75035,Madhya Pradesh / Maharashtra,1,0.0747,0.1266,0.1971,0.2983,0.377,0.2314,2.6368,1.6291,1.2639,0.2042,403.58,16.05,286.75,-0.9576,0.2883,9.95,0.43,2.08,Precambrian Granitic Gneiss,21_79,train
MN_OCC_0098,22.5494,85.81019,Other State,1,0.048,0.1095,0.1264,0.2615,0.2884,0.2537,2.6326,1.1369,1.103,0.3482,374.03,10.27,4.18,0.0729,0.9973,3.08,0.24,0.9,Precambrian Granitic Gneiss,22_85,train
MN_OCC_0100,15.22509,74.16715,Other State,1,0.064,0.0975,0.1895,0.3004,0.3804,0.1552,2.9608,2.4516,1.2661,0.2264,263.96,12.26,87.14,0.9988,0.05,37.42,3.88,1.48,Gondwana Supergroup Metasediment,15_74,train
MN_OCC_0101,21.99529,80.13367,Madhya Pradesh / Maharashtra,1,0.0531,0.1111,0.1288,0.2291,0.246,0.1602,2.4272,1.5353,1.0737,0.2803,377.29,7.49,204.31,-0.4117,-0.9113,15.95,3.74,2.9,Gondwana Supergroup Metasediment,21_80,validation
MN_OCC_0102,21.4595,79.41036,Madhya Pradesh / Maharashtra,1,0.0467,0.0863,0.1836,0.2789,0.2457,0.2717,3.9324,0.9042,0.8809,0.206,387.16,9.27,255.26,-0.9671,-0.2544,21.35,5.18,0.75,Lateritic Duricrust,21_79,train
MN_OCC_0103,21.84947,80.24201,Madhya Pradesh / Maharashtra,1,0.0432,0.1337,0.1748,0.2944,0.3214,0.2337,4.0448,1.3755,1.0917,0.255,461.77,21.18,29.39,0.4907,0.8713,19.78,0.2,0.51,Gondwana Supergroup Metasediment,21_80,validation
MN_OCC_0106,21.32952,79.36036,Madhya Pradesh / Maharashtra,1,0.0749,0.0932,0.2176,0.2272,0.2728,0.2527,2.9061,1.0796,1.2008,0.0215,377.08,23.21,199.93,-0.3409,-0.9401,10.73,17.95,6.63,Dharwar Schist,21_79,train
MN_OCC_0107,22.02944,85.4102,Odisha,1,0.048,0.1208,0.1272,0.1843,0.2864,0.2101,2.6514,1.3628,1.554,0.1832,470.4,14.5,267.37,-0.999,-0.0458,23.38,1.77,0.76,Precambrian Granitic Gneiss,22_85,train
MN_OCC_0108,22.01612,80.36701,Madhya Pradesh / Maharashtra,1,0.0795,0.0824,0.2067,0.261,0.319,0.2443,2.5998,1.3057,1.222,0.1161,509.44,12.31,324.25,-0.5842,0.8116,5.14,2.87,4.38,Gondwana Supergroup Metasediment,22_80,train
MN_OCC_0109,34.26522,73.31725,Other State,1,0.0649,0.1179,0.1933,0.1984,0.3688,0.2682,2.9777,1.3754,1.8589,0.013,311.27,9.75,349.7,-0.1788,0.9839,12.83,0.64,3.47,Precambrian Granitic Gneiss,34_73,train
